Name_En,Acronym,Name_Bn,University_Acronym,University
"Ibrahim Medical College, Dental Unit, Dhaka",IMCDU,"ইব্রাহিম মেডিকেল কলেজ, ডেন্টাল ইউনিট, ঢাকা",DU,Dhaka University
Dhaka Community Medical College Hospital And Dental Unit,DCMCDU,ঢাকা কমিউনিটি মেডিকেল কলেজ হসপিটাল অ্যান্ড ডেন্টাল ইউনিট,DU,Dhaka University
"Delta Medical College & Hospital Dental Unit, Dhaka",DLMCDU,"ডেল্টা মেডিকেল কলেজ অ্যান্ড হসপিটাল ডেন্টাল ইউনিট, ঢাকা",DU,Dhaka University
"Community Based Medical College, Bangladesh Dental Unit, Mymensingh",CBMCDU,"কমিউনিটি বেসড মেডিকেল কলেজ, বাংলাদেশ ডেন্টাল ইউনিট, ময়মনসিংহ",DU,Dhaka University
Dhaka National Medical College Dental Unit,DNMCDU,ঢাকা ন্যাশনাল মেডিকেল কলেজ ডেন্টাল ইউনিট,DU,Dhaka University
Islami Bank Medical College Dental Unit,IBMCDU,ইসলামী ব্যাংক মেডিকেল কলেজ ডেন্টাল ইউনিট,RMU,Rajshahi University
Sylhet Central Dental College & General Hospital,SCDC,সিলেট সেন্ট্রাল ডেন্টাল কলেজ অ্যান্ড জেনারেল হসপিটাল,SMU,Sylhet Medical University
"Khawja Eunus Ali Medical College Dental Unit, Enayetpur",KEAMCDU,"খাজা ইউনুস আলী মেডিকেল কলেজ ডেন্টাল ইউনিট, এনায়েতপুর",RMU,Rajshahi University
"North East Medical College Dental Unit, Sylhet",NEMCDU,"নর্থ ইস্ট মেডিকেল কলেজ ডেন্টাল ইউনিট, সিলেট",SMU,Sylhet Medical University
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
